fpr,tpr,threshold
0.0,0.0,inf
0.019801980198019802,0.43,1.0
0.019801980198019802,0.45,0.94
0.0297029702970297,0.45,0.8548387096774194
0.0297029702970297,0.48,0.71
0.0297029702970297,0.5,0.66
0.0297029702970297,0.51,0.62
0.039603960396039604,0.51,0.6129032258064516
0.039603960396039604,0.54,0.54
0.04950495049504951,0.54,0.5268817204301075
0.04950495049504951,0.55,0.51
0.3069306930693069,0.64,0.5
0.31683168316831684,0.64,0.4918032786885246
0.31683168316831684,0.68,0.42
0.3465346534653465,0.68,0.3978494623655914
0.3465346534653465,0.69,0.38
0.3564356435643564,0.69,0.3709677419354839
0.3564356435643564,0.7,0.35
0.36633663366336633,0.7,0.3387096774193548
0.39603960396039606,0.74,0.3333333333333333
0.40594059405940597,0.74,0.3225806451612903
0.40594059405940597,0.75,0.32
0.42574257425742573,0.75,0.2903225806451613
0.42574257425742573,0.77,0.26
0.45544554455445546,0.77,0.25806451612903225
0.4752475247524752,0.77,0.1935483870967742
0.4752475247524752,0.78,0.19333333333333333
0.49504950495049505,0.78,0.16129032258064516
0.5148514851485149,0.78,0.15053763440860216
0.5148514851485149,0.79,0.14666666666666667
0.5346534653465347,0.79,0.11290322580645161
0.5346534653465347,0.8,0.1
0.5841584158415841,0.8,0.03225806451612903
1.0,1.0,0.0
