fpr,tpr,threshold
0.0,0.0,inf
0.03426791277258567,0.0,48.0
0.037383177570093455,0.0,46.0
0.040498442367601244,0.18627450980392157,39.0
0.040498442367601244,0.1895424836601307,38.0
0.04361370716510903,0.1895424836601307,37.0
0.04361370716510903,0.19607843137254902,30.0
0.04984423676012461,0.19934640522875818,26.0
0.367601246105919,0.19934640522875818,22.0
0.367601246105919,0.5326797385620915,19.0
0.367601246105919,0.5424836601307189,7.0
0.37383177570093457,0.5424836601307189,5.0
0.37694704049844235,0.5522875816993464,4.0
0.37694704049844235,0.5620915032679739,3.0
0.3925233644859813,0.5784313725490197,2.0
0.40498442367601245,0.5882352941176471,1.0
1.0,1.0,0.0
