AVG_PAYLOAD,N_SERVERS,N_USER_PORTS,N_ACK,N_SYN,N_FIN,N_PSH,N_RST
31.4,2,2,5,0,0,4,0
778.8,1,1,5,0,0,1,0
527.0,1,1,5,0,0,1,0
205.4,1,1,5,0,0,2,0
46.0,1,1,5,0,0,3,0
14.8,1,1,5,0,0,2,0
35.8,2,3,5,0,0,4,0
13.2,2,2,5,0,0,2,1
156.2,1,1,4,3,0,1,0
947.2,1,1,5,0,0,2,0
34.4,1,1,5,0,0,2,0
719.8,1,1,5,0,0,3,0
778.8,1,1,5,0,0,1,0
362.4,1,1,5,0,0,4,0
15.6,1,1,5,0,0,2,0
26.0,2,2,5,0,0,3,0
786.6,1,1,5,0,0,1,0
519.2,1,1,5,0,0,0,0
243.6,1,1,5,0,0,4,0
7.8,1,1,5,0,0,1,0
39.8,2,2,5,0,0,4,0
20.2,1,1,5,0,0,3,0
32.8,3,3,4,0,0,3,1
267.4,1,1,5,0,0,1,0
710.8,1,1,5,0,0,1,0
519.2,1,1,5,0,0,0,0
60.2,1,1,5,0,0,4,0
14.8,1,1,5,0,0,2,0
38.2,1,1,5,0,0,4,0
25.2,2,2,5,0,0,3,0
527.0,1,1,5,0,0,1,0
451.0,1,1,5,0,0,1,0
519.2,1,1,5,0,0,0,0
60.0,1,1,5,0,0,4,0
14.8,1,1,5,0,0,2,0
38.2,2,2,5,0,0,3,0
20.2,1,1,5,0,0,3,0
537.4,2,2,5,0,0,2,0
7.8,1,1,5,0,0,1,0
970.2,1,1,5,0,0,2,0
60.0,1,1,5,0,0,4,0
7.0,1,1,5,0,0,1,0
7.8,2,3,4,2,0,1,0
824.0,1,2,5,0,0,2,0
17.0,1,2,5,0,0,1,0
83.4,1,2,5,0,0,4,0
76.6,1,2,5,0,0,3,0
485.2,2,3,4,1,0,2,0
363.0,1,1,5,1,0,1,0
639.0,1,1,5,0,0,2,0
154.0,1,1,5,0,0,4,0
142.8,1,1,5,0,0,2,0
99.4,1,1,5,0,0,3,0
24.8,2,3,5,0,0,2,0
10.6,1,2,3,0,2,1,2
45.2,1,1,5,0,0,4,0
25.6,1,1,5,0,0,4,0
38.2,1,1,5,0,0,3,0
32.0,1,1,5,0,0,3,0
278.6,2,2,5,0,0,2,0
199.6,1,1,5,0,0,2,0
778.8,1,1,5,0,0,0,0
305.8,1,1,5,0,0,2,0
14.0,1,1,5,0,0,2,0
21.8,2,2,5,0,0,3,0
50.0,2,2,5,0,0,4,0
7.8,1,1,5,0,1,1,0
16.0,1,1,3,0,2,2,2
32.0,2,2,4,0,0,3,1
19.4,1,1,5,0,0,3,0
28.0,2,3,5,0,0,4,0
20.8,1,2,5,0,0,4,0
11.8,2,2,4,3,0,1,0
246.0,2,2,5,0,0,3,0
228.8,2,2,5,0,0,3,0
1092.0,1,1,5,0,0,3,0
449.8,1,1,5,0,0,2,0
118.8,1,1,5,0,0,3,0
14.0,1,1,5,0,0,2,0
7.8,1,1,5,0,0,1,0
