WS;NC;Mean_AUC;Std_Dev;CI_Lower;CI_Upper
2;2;0.68102;0.043225536;0.627348408;0.734691592
2;3;0.72937;0.037124093;0.683274351;0.775465649
2;4;0.87462;0.064735786;0.794239905;0.955000095
2;5;0.87882;0.05368711;0.812158649;0.945481351
3;2;0.774789505;0.004513777;0.769184911;0.780394099
3;3;0.88295922;0.039660541;0.833714154;0.932204286
3;4;0.810782666;0.045056386;0.754837773;0.866727558
3;5;0.621910401;0.063336239;0.543268073;0.700552729
4;2;0.700495743;0.020760416;0.674718282;0.726273204
4;3;0.76918099;0.009538197;0.757337754;0.781024226
4;4;0.750344617;0.00838012;0.739939323;0.76074991
4;5;0.762457678;0.013069331;0.746229959;0.778685396
5;2;0.785435644;0.007676413;0.775904118;0.794967169
5;3;0.804597718;0.021753655;0.777586987;0.831608448
5;4;0.790651615;0.032664223;0.750093626;0.831209605
5;5;0.851184912;0.031528821;0.812036709;0.890333114
6;2;0.5938557;0.063870048;0.514550562;0.673160839
6;3;0.700922389;0.028681871;0.665309143;0.736535635
6;4;0.717558284;0.049894891;0.655605595;0.779510974
6;5;0.801294249;0.026383811;0.768534421;0.834054077
7;2;0.558147582;0.084055846;0.453778464;0.662516699
7;3;0.76652665;0.057255751;0.695434245;0.837619055
7;4;0.813087748;0.018446571;0.790183305;0.835992191
7;5;0.782978259;0.049634618;0.721348741;0.844607778
8;2;0.52251164;0.010168368;0.509885943;0.535137337
8;3;0.640420619;0.029195716;0.60416935;0.676671888
8;4;0.63135032;0.013189985;0.614972791;0.64772785
8;5;0.627530466;0.013866877;0.610312464;0.644748468
