fpr,tpr,threshold
0.0,0.0,inf
0.02,0.43,1.0
0.02,0.45,0.94
0.04,0.45,0.8061224489795918
0.04,0.47,0.77
0.05,0.47,0.7551020408163265
0.05,0.48,0.71
0.05,0.5,0.66
0.05,0.51,0.62
0.06,0.51,0.6054421768707483
0.06,0.55,0.51
0.26,0.64,0.5
0.26,0.67,0.4666666666666667
0.28,0.67,0.4557823129251701
0.28,0.69,0.38
0.29,0.69,0.37755102040816324
0.29,0.7,0.35
0.3,0.7,0.3469387755102041
0.33,0.74,0.3333333333333333
0.33,0.77,0.26
0.34,0.77,0.25170068027210885
0.36,0.77,0.23469387755102042
0.37,0.77,0.23129251700680273
0.37,0.79,0.14666666666666667
0.41,0.79,0.10204081632653061
0.41,0.8,0.1
0.44,0.8,0.030612244897959183
1.0,1.0,0.0
